"","sort(table(cc$values), decreasing = TRUE)"
"BeecroftRobertS",3
"BenningDouglassR",3
"BiesJohn",3
"BlancJarrettN",3
"BlauRobertI",3
"BlumenfeldJoshuaR",3
"BoothDonaldE",3
"BrandtMarkR",3
"BransonRuthN",3
"BStride",3
"Burnswj@stategov",3
"CairoSMARTS",3
"CampbelIKM@stategov",3
"CasablancaSMARTS",3
"CatalanoElisa",3
"CatherineRimmer",3
"CherylMillspvervee",3
"CherylMillsSullivanJacob",3
"ChoIletDerekH",3
"ClementsKelly",3
"ColbyCooper",3
"ColeyTheodoreR",3
"CousinErtharin",3
"crowleypj@stategov",3
"D",3
"DanDelaneyJr",3
"DavissonBrandon",3
"dband",3
"DeMarcellusRolandF",3
"DesrocherJohnP",3
"DianeSheard",3
"DibblePhiloL",3
"DonlonStevenA",3
"DotsonKylaE",3
"DresselAbigailL",3
"DuboseMaryL",3
"DunnEdwardA",3
"ElliottSusanM",3
"EstradaStephenH",3
"FairfaxKennethJ",3
"FeitmanJeffreyD",3
"feltmanjd@stategov",3
"FitzgibbonsTimothyT",3
"FormanJanice",3
"FrankWisner",3
"FraynePhilipA",3
"GabrielVerret",3
"GarfieldAaronE",3
"GermainEllenJ",3
"GillMuazzam",3
"GireCynthiaL",3
"GoldenJenniferR",3
"GollnerSweetKatharina",3
"gordonph@stategov",3
"GrigolaSandraT",3
"HallAndreaG",3
"HalusAndrew",3
"HanleyMonicaRUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",3
"HarrisGrantT",3
"HarrisJenniferD",3
"HartCliffordA",3
"HibbertSimpsonLisaM",3
"HillJohnJ",3
"HolbrookeRichardC",3
"HormatsRobertD",3
"HumaAbedinState",3
"ItoiKay",3
"JacksonMarjorieW",3
"Jacob",3
"JacobjJew",3
"Jacobjlew",3
"JenningsMonikaD",3
"JohnSachs",3
"JonesJohnsonCarolynD",3
"JonesKerriAnn",3
"JonesStuart",3
"KabraPatricia",3
"KenMichel",3
"KillionDavidT",3
"KromashNeilS",3
"LabowitzSarah",3
"LaceyEdward",3
"LakhdhirKamala",3
"LambertChristopherA",3
"LangeBradleyE",3
"LanierJerryP",3
"laszczychj@stategov",3
"LauraGraham",3
"LeachKirkA",3
"LeafBarbaraA",3
"LeavittWilliamR",3
"LEIVECINDI",3
"LeoneAvaG",3
"LISBONSMARTS",3
"LoraineMangones",3
"MacDonaldAndrewT",3
"MarkDSa",3
"MauldinCarolineP",3
"McAuliffeMarisa",3
"McCormickJamesP",3
"McKayMariaE",3
"McLeodMary",3
"mhcaleja@stategov",3
"MichaelGuest",3
"MirandaJared",3
"MitchellGeorge",3
"MooreJamesR",3
"MurphyWPatrick",3
"MushingiTulinaboS",3
"NaranjoBrianR",3
"NephewRichardM",3
"newmyer",3
"NEWSIran",3
"NormanMarcE",3
"NorthWalter",3
"NOUAKCHOTTSMARTS",3
"OgdenPeterR",3
"OlsonMichael",3
"OstermeierAmyA",3
"OteroMaria",3
"OwenMichaelS",3
"PaigeGebhardt",3
"PALibya",3
"PappasDemitraM",3
"PAPressDutyOfficer",3
"PAPRS_Issues",3
"ParadisoDarraghT",3
"ParsontDianeM",3
"PatelMiraD",3
"PattersonCharlesN",3
"PearceDavidD",3
"PearsonOtisJ",3
"PettitJamesD",3
"PhilGoldberg",3
"PiechowskiJonE",3
"PolaschikJoanA",3
"PolidoroEvelynR",3
"preines@",3
"preinesHumaAbedin",3
"PrinceJonathanM",3
"pvervee",3
"RABATSMARTS",3
"RademacherPaulR",3
"RaoNaveen",3
"RasamimananaJenniferL",3
"ReimerDavid",3
"ReinesPI",3
"RestrepoDanielA",3
"ReynoldsJohnLuke",3
"RolandKevinS",3
"RoseFrankA",3
"RuggieroFrank]",3
"S_SpeclalAssistants",3
"SavageMartha",3
"ScarlisBasil",3
"SchimmelMikeR",3
"SchonanderCarlE",3
"SeaholmRenaM",3
"SES_Shift",3
"SESDutyDeputies",3
"SESO_ShIft",3
"SESO_ShIftIII",3
"SESO_ShlftII",3
"ShahKhushaliP",3
"ShakerJoanP",3
"SMARTS",3
"SmithBethM",3
"SmithGayleE",3
"SnipeAaronD",3
"SpenceMatthew",3
"SpragueBrendaS",3
"SteinbergJB@stategov",3
"SteinDanielD",3
"StephenBosworth",3
"StevensJohnC",3
"StrohMarkE",3
"SullivanJJ@stategov",3
"SullivanMargie",3
"SutphinPaulR",3
"TeelWynneM",3
"TekNathaniel",3
"ThomasHarryK",3
"ThompsonMarkI",3
"ToivNF@stategov",3
"TUNISSMARTS",3
"UNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",3
"UnderrinerJohnM",3
"USNATOSMARTS",3
"VallettaSMARTS",3
"ValmoroLJ@stategov",3
"VogelsteinRachel",3
"WadeJosephW",3
"WagnerWilliamT",3
"WalkerStevenC",3
"WalshMelissaD",3
"WestThomas",3
"WhartonDavidB",3
"WhitakerKevinM",3
"WhiteThomas",3
"WiegertJoelR",3
"WitkowskyAnneA",3
"WoodRobertA",3
"YuAlanK",3
"YunJosephY",3
"ZelinskyAaron",3
"ZeyaUzra",3
"#whsr@nsseopgov",2
"AbbaszadehNima",2
"AbedInHuma",2
"AbediriHuma",2
"abroadswathofpeopleservingontheUSNSComfortbothonandofftheship",2
"AdamsDS@stategov",2
"AdlerMichael",2
"AguileraPatricia",2
"AlbaJoannG",2
"AlbrightRichardA",2
"alecross",2
"AndersonLauraE",2
"andradecf@stategov",2
"AndrewRobertB",2
"AnneLyons",2
"ArendtChristieM",2
"AshDeborah",2
"AustinFergusonKathleenT",2
"BakerNatalieA",2
"BalengerDeAraN",2
"BegleyValerie",2
"BennettRuthE",2
"BERUNSMARTS",2
"BeverleyTempest",2
"BitnerStevenR",2
"BlakemanChat",2
"BlayneAllardAliceA",2
"bnolan",2
"BoboJackA",2
"BolandMatthewH",2
"BordleyDonna",2
"BorisJohn",2
"BrancatoGildaM",2
"BrennanPeterM",2
"BrownTodd",2
"bstriderSullivanJacob",2
"BumsWilliam",2
"Burnsstrider",2
"ButteDahlJenniferX",2
"BuzbeeJohnR",2
"BuzenasLisaA",2
"CalabriaMichaelA",2
"CanegalloKristieA",2
"CAOCSSpecialAssistant",2
"CarterNathanC",2
"CaryJeffreyJ",2
"CassidyJosephP",2
"CDMHumaAbedin",2
"CedarAndrewN",2
"CherylDougJustinThereisacontextsectionatthebottomwhichislongerthanIwouldlikebutIthinkitisimportanttoarticulatewhatIsawandwhomIspokewith",2
"cherylmillCherylMills",2
"CherylMillsHumaAbedin",2
"ChitreNandaS",2
"CintronDan",2
"ClarkeRobertJ",2
"ColemanClaire",2
"CooperJohnM",2
"CooperKurtisA",2
"CorneilleFaith",2
"CousensElizabeth",2
"CraftWilliamE",2
"CrowleyPhilipI",2
"DaigleJJeff",2
"DalyJessicaM",2
"DanielJJ@stategov",2
"DavenportPatrickT",2
"DavidsonLynneA",2
"DavidsonMark",2
"DeanNicholasJ",2
"DemingRustM",2
"DePirroVellaM",2
"DerekChollet",2
"DesaultesEricE",2
"DialloRobinD",2
"DickGephardt",2
"DLNSCDemocracy",2
"DLNSCLegalAdvisor",2
"DLNSCReliefStabilizationandDevelopment",2
"DonnellyUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",2
"DorelienAstrid",2
"DorvalChristopher",2
"DrianoSusan",2
"DrianoSusanJ",2
"DuncanDaraL",2
"DunnDavid",2
"EastKyleDBlauRobertI",2
"EEBAMTAAMTADL",2
"EllisonJanineM",2
"EnavCariR",2
"EscrogimaAnaA",2
"EtimLinda",2
"EURStaffAssistantsDL",2
"FedoroffNinaV",2
"FeldmanMichaelA",2
"FernandezKatherineBerglund",2
"FineRicky",2
"FogartyDaniel",2
"FrAlexKarloutsosMarshallCapriciaP",2
"GargPremS",2
"GillisChristopher",2
"GilmoreKristinM",2
"GipsDonaldH",2
"GloverMichaelP",2
"GoroveKatherineM",2
"GraffCorinne",2
"GranthamSuzanneL",2
"HaddaKatherineB",2
"HahsOnaM",2
"HaitiElectionTF",2
"HaitiElectIonTF",2
"HandogJenniferG",2
"HanleyMR@stategov",2
"hanleymr@stategovi",2
"HansonKathleenD",2
"haroldhongjukoh",2
"HarutunianRuben",2
"HataMarianneJ",2
"HaynesJohnD",2
"HegJamesT",2
"HeinemannThomasB",2
"HembryMarcellaG",2
"HochsteinAmosJ",2
"HohChristopherJ",2
"HolmstromToddC",2
"HoltsniderJamesW",2
"hr@attblackberrynet",2
"Huma@clintonemailcom",2
"huma@clintonemailcomUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",2
"HumaAbedinHumaAbedin",2
"HumaAbedinI",2
"HumaAbedinValmoroLona",2
"HurnaAbedin",2
"HurriaAbedin",2
"HurtadoLVictor",2
"icherylmill!",2
"Iewjj@stategov",2
"ISullivanJacob",2
"Ivalmoro",2
"IvalmoroHumaAbedin",2
"Jacob_jJew",2
"Jacob_jlew",2
"Jacobjjew",2
"JacobjJeW",2
"JacobyJuliaI",2
"JamisonJeffreyM",2
"JohnsonBrockA",2
"JohnstonTodd",2
"JonesKernAnn",2
"JonesNatalieR",2
"JudyTrabulsi",2
"KabulExecAdmin",2
"KaganEdgardD",2
"KaiserSandraL",2
"KatsoulosAthena",2
"KazemiShamimUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",2
"KeigherConnolly",2
"KempEdward",2
"KendallDavid",2
"KendrickKatharineA",2
"KleinJenniferL",2
"KoutsisStevenC",2
"KrishnanGanapathisubramanian",2
"KurzbauerRuthA",2
"LamiyaEmmanuelFaber",2
"LaszczychJoanneSullivanJacob",2
"LatifMohammadA",2
"LevineMarneL",2
"LinehanPatrickJ",2
"LogsdonKentD",2
"LonaValmoroSullivanJacob",2
"LouiseIversheadofPIHinHaitiandotherswemetorranintoalongthewayUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",2
"LoveReggieL",2
"LukensLewisA",2
"LuteDouglasE",2
"MacklinRonita",2
"MaggieWilliams",2
"MaherShawnP",2
"MalacDeborahR",2
"MandavillePeter",2
"MandojanaMarcosC",2
"MariaMcFarland",2
